,Amphitheater_id,date_built,pleiades_region,minRegionDate,maxRegionDate,built_after_founding
27,albaFucensAmphitheater,-27,Alba Fucens,-330.0,2100.0,303.0
28,cherchellAmphitheater,-27,Iol Caesarea,-550.0,2100.0,523.0
29,pulaAmphitheater,-27,Pola,-330.0,2100.0,303.0
30,paduaAmphitheater,-27,Patavium,-750.0,2100.0,723.0
31,anconaAmphitheater,-27,Ancon(a),-550.0,640.0,523.0
32,statiliusTaurusAmphitheater,-27,Roma,-750.0,2100.0,723.0
33,augustaBagiennorumAmphitheater,-27,Augusta Bagiennorum,-330.0,640.0,303.0
34,aostaAmphitheater,-27,Augusta Praetoria,-30.0,2100.0,3.0
35,faleriiNoviAmphitheater,-27,Falerii,-330.0,640.0,303.0
36,carnuntumMilitaryAmphitheater,1,Carnuntum,-30.0,640.0,31.0
37,empuriesAmphitheater,1,Emporiae,-750.0,640.0,751.0
38,scylletiumScolaciumAmphitheater,1,Scylletium/Scolacium,-550.0,1453.0,551.0
39,cordobaAmphitheater,1,Corduba/Col. Patricia,-330.0,2100.0,331.0
40,lillebonnAmphitheater,1,Iuliobona,-30.0,2100.0,31.0
41,milanAmphitheater,1,Mediolan(i)um,-550.0,2100.0,551.0
42,sanVittorinoAmphitheater,1,Amiternum,-330.0,640.0,331.0
43,senlisAmphitheater,1,Augustomagus,-30.0,2100.0,31.0
44,minturnaeAmphitheater,1,Minturnae,-330.0,640.0,331.0
45,ludusMagnusArena,50,Roma,-750.0,2100.0,800.0
46,nijmegenAmphitheater,50,Batavodurum/(Ulpia) Noviomagus,-30.0,2100.0,80.0
47,carnuntumLudus,50,Carnuntum,-30.0,640.0,80.0
48,catiniaAmphitheater,50,Katane/Catina,-750.0,2100.0,800.0
49,lunaAmphitheater,50,Luna,-330.0,2100.0,380.0
50,cassinoAmphitheater,50,Casinum,-330.0,2100.0,380.0
51,flaviaSolvaAmphitheater,50,Flavia Solva,-30.0,2100.0,80.0
52,octodurusForumClaudiiVallensiumAmphitheater,50,Octodurus/Forum Claudii Vallensium,-330.0,2100.0,380.0
53,cyreneAmphitheater,50,Cyrene,-750.0,2100.0,800.0
54,libarnaAmphitheater,50,Libarna,-550.0,640.0,600.0
55,charterhouseAmphitheater,50,Ischalis?,-30.0,2100.0,80.0
56,scythopolisNysaAmphitheater,50,Scythopolis/Nysa,-750.0,640.0,800.0
57,carthagoNovaAmphitheater,50,Carthago Nova/Col. Urbs Iulia,-330.0,640.0,380.0
58,virunumAmphitheater,50,Virunum,-30.0,2100.0,80.0
59,carsulaeAmphitheater,50,Carsulae,-330.0,640.0,380.0
60,florenceAmphitheater,50,Florentia,-30.0,2100.0,80.0
